,title,id,max_occur_words,max_occur_number,content_original,content
178,Bargain Hunt retail store,179,store,12,"Bargain Hunt (retail store)

Bargain Hunt, formerly Essex Bargain Hunt, is an American Discount store chain. Founded in 2004, Bargain Hunt is headquartered in La Vergne, Tennessee with retail locations in Tennessee, Ohio, Indiana, Kentucky, North Carolina, South Carolina, Georgia, Alabama, Mississippi and Arkansas.

Essex Technology Group - Bargain Hunt's parent company was founded in the year 2000 in Nashville by Robert Echols and Phil Pfeffer. They started off the company as a wholesaler of closeout goods. The company bought overstock and excess inventory goods from big box retailers and sold them. Initially, the focus was on electronics and computers.

The first store was opened in 2004 in Nashville and was known as Essex Bargain Hunt. The company also began an online store selling directly to retail customers from its original Nashville location. The strategy was to sell items that were too big or expensive to sell online.

After a successful run, Essex launched the Bargain Hunt superstores - using locations abandoned by stores such as Staples and Circuit City. The name was later changed to Bargain Hunt.

Bargain Hunt opened its first store in Nashville in the year 2004 and went on to expand in Southern and Midwest United States. The chain operates more than 80 stores in 10 states as of 2017. In 2015, Thomas H. Lee Partners acquired a majority stake in the retail chain.

Bargain Hunt stores are typically around 20,000 - 25,000 sq ft. in size and sell products such as electronics, movies and music, furniture, home improvement, clothing, footwear, jewelry, toys, health and beauty, pet supplies, sporting goods and fitness.

The stores sells name brands at a deep discount of 30% to 70% on regular prices and plays in the extreme value retail space. The store also utilizes a discounting program that drops the prices on items by specific percentages depending on the time they have been on shelves. The discount varies from 10% for newly shelved products to 90% for products in store for a longer time. These discounts are given in addition to the already marked down prices. The products sold in the stores are mostly overstock and excess inventory goods acquired from big box retailers.",bargain hunt retail store bargain hunt essex bargain hunt american discount store chain. found 2004 bargain hunt headquart la vergn tennesse retail locat tennesse ohio indiana kentucki north carolina south carolina georgia alabama mississippi arkansas. essex technolog group bargain hunt parent compani found year 2000 nashvil robert echol phil pfeffer. start compani wholesal closeout goods. compani bought overstock excess inventori good big box retail sell them. initi focu electron computers. store open 2004 nashvil essex bargain hunt. compani begin onlin store sell retail custom origin nashvil location. strategi sell item big expens sell online. success essex launch bargain hunt superstor locat abandon store stapl circuit city. chang bargain hunt. bargain hunt open store nashvil year 2004 expand southern midwest unit states. chain oper 80 store 10 2017. 2015 thoma h. lee partner acquir major stake retail chain. bargain hunt store typic 20 000 25 000 sq ft. size sell product electron movi music furnitur improv cloth footwear jewelri toy health beauti pet suppli sport good fitness. store sell brand deep discount 30 70 regular price play extrem retail space. store util discount program drop price item specif percentag depend time shelves. discount vari 10 newli shelv product 90 product store longer time. discount addit mark prices. product sell store overstock excess inventori good acquir big box retailers.
179,Jim Marchant,180,marchant,6,"Jim Marchant

James Carl Marchant Jr. (born 1956) is a Republican member of the Nevada Assembly. He represents the 37th district, which covers parts of the northwestern Las Vegas Valley.

Marchant was born in 1956 in Gainesville, Florida. He graduated from Troy University with a degree in criminal justice, and moved to Nevada from Florida in 2005. Marchant worked for the family business from 1978 until 1984, when he left to found his own business.

In 2015, Marchant threatened to run against then-Speaker John Hambrick; he ultimately decided to challenge Glenn E. Trowbridge instead. Marchant defeated Trowbridge and then Democrat Sean D. Lyttle in the general election.",jim marchant jame carl marchant jr. born 1956 republican member nevada assembly. repres 37th district cover part northwestern la vega valley. marchant born 1956 gainesvil florida. graduat troy univers degre crimin justic move nevada florida 2005. marchant work famili busi 1978 1984 left business. 2015 marchant threaten speaker john hambrick; ultim decid challeng glenn e. trowbridg instead. marchant defeat trowbridg democrat sean d. lyttl gener election.
180,6th National Congress of Kuomintang Wang Jingwei,181,congress,4,"6th National Congress of Kuomintang (Wang Jingwei)

The 6th National Congress of Kuomintang () was held by Wang Jingwei and his followers from the Kuomintang in exile after he defected from Chiang Kai-shek to Japan, in Japanese-occupied Shanghai, on 28 August 1939. As he was a collaborator, this congress was not considered legitimate after the war. A ""central political conference"" was held in Nanjing later on 20 March 1940, establishing his new regime.
The Congress eventually led to the formation of the Reorganized National Government of the Republic of China, a puppet state of Japan under Wang Jingwei's leadership.",6th nation congress kuomintang wang jingwei 6th nation congress kuomintang held wang jingwei follow kuomintang exil defect chiang kai shek japan japanes occupi shanghai 28 august 1939. collabor congress consid legitim war. central polit confer held nanj 20 march 1940 establish regime. congress eventu lead format reorgan nation govern republ china puppet japan wang jingwei leadership.
181,Prasophyllum subbisectum,182,subbisectum flower long,6,"Prasophyllum subbisectum

Prasophyllum subbisectum, commonly known as the Pomonal leek orchid, is a species of orchid endemic to Victoria. It has a single, thin tubular leaf and up to fifteen small, greenish-brown to brown flowers well-spaced along a thin flowering stem. It is only known from a small area around Stawell.

""Prasophyllum subbisectum"" is a terrestrial, perennial, deciduous, herb with an underground tuber and a single tube-shaped leaf long and wide. Between seven and fifteen flowers are well-spaced along a flowering stem long which reaches to a height of . The flowers are greenish-brown to brown and as with others in the genus, are inverted so that the labellum is above the column rather than below it. The dorsal sepal is lance-shaped to egg-shaped, long, about wide and curves downward. The lateral sepals are long, about wide and curve backwards. The petals are long, about wide and pointed. The labellum is greenish or pinkish, egg-shaped, about long and wide and turns sharply upwards near its middle. There is a shiny green or brown, deeply channelled callus along the centre of the labellum, extending almost to its tip. Flowering occurs in October and November.

""Prasophyllum subbisectum"" was first formally described in 1936 by William Henry Nicholls and the description was published in ""The Victorian Naturalist"" from a specimen collected near Pomonal. The specific epithet (""subbisectum"") is derived from the Latin word ""sectus"" meaning ""cut"", with the prefixes ""sub-"" meaning ""somewhat"" and ""bi-"" meaning ""two"" or ""double"".

The Pomonal leek orchid mostly grows in heathy woodland near Stawell.

In 2010, ""P. subbisectum"" was recorded in four populations with a total of about 130 plants. It is listed as ""Endangered"" under the Commonwealth Government ""Environment Protection and Biodiversity Conservation Act 1999"" (EPBC) Act and the Victorian ""Flora and Fauna Guarantee Act 1988"". The main threats to its survival are grazing by rabbits and kangaroos, habitat disturbance and inappropriate fire regimes.",prasophyllum subbisectum prasophyllum subbisectum commonli pomon leek orchid speci orchid endem victoria. singl tubular leaf small greenish brown brown flower space flower stem. small area stawell. prasophyllum subbisectum terrestri perenni decidu herb underground tuber singl tube shape leaf long wide. flower space flower stem long reach height . flower greenish brown brown genu invert labellum column it. dorsal sepal lanc shape egg shape long wide curv downward. later sepal long wide curv backwards. petal long wide pointed. labellum greenish pinkish egg shape long wide turn sharpli middle. shini green brown deepli channel callu centr labellum extend tip. flower occur octob november. prasophyllum subbisectum formal 1936 william henri nichol descript publish victorian naturalist specimen collect pomonal. specif epithet subbisectum deriv latin word sectu mean cut prefix mean bi mean doubl . pomon leek orchid grow heathi woodland stawell. 2010 p. subbisectum record popul total 130 plants. list endang commonwealth govern environ protect biodivers conserv 1999 epbc victorian flora fauna guarante 1988 . main threat surviv graze rabbit kangaroo habitat disturb inappropri regimes.
182,1983 NCAA Division II Soccer Championship,183,divis ii,4,"1983 NCAA Division II Soccer Championship

The 1983 NCAA Division II Soccer Championship was the 12th annual tournament held by the NCAA to determine the top men's Division II college soccer program in the United States.

Seattle Pacific defeated Tampa in the final, 1–0, to win their seond Division II national title. The Falcons, who previously won in 1978, were coached by Cliff McCrath.

The final match was played on December 2 at the University of Tampa in Tampa, Florida.",1983 ncaa divis ii soccer championship 1983 ncaa divis ii soccer championship 12th annual tournament held ncaa determin men divis ii colleg soccer program unit states. seattl pacif defeat tampa final 1 0 win seond divis ii nation title. falcon 1978 coach cliff mccrath. final match play decemb 2 univers tampa tampa florida.
183,Kaat Tilley,184,design,9,"Kaat Tilley

Kaat Tilley (20 September 1959-22 June 2012) was a Belgian Flemish fashion designer known for her imaginative and devouring creations.

Kaat Tilley grew up in Kapelle-op-den-Bos and as a child, she was fond of fairy tales. The inaccessibility, strength, beauty and fragility of the fairy-tale figure Snow White became her trademark. Tilley would regularly refer to this in her later visual work.

Tilley studied at Sint Lucas in Brussels and learned the technique of painting there. Tilley was a former student of the Antwerp Fashion Academy. She graduated there cum laude with the theme for her final collection ""Mahler and Venice "".

Tilley was known for her romantic to fairytale clothing. In 1990 she designed a jewelery collection. In 1993 she signed the costumes for the film "" Antoine "". Her creations are midway between fashion and art. She dressed among others Diana Ross, Barbra Streisand, Naomi Campbell, Melanie Griffith and Halle Berry.

In the meantime she became an established name, witness her retrospective exhibition at the Gaasbeek Castle in the autumn of 2005.

In 2007 Tilley kept on her living and working area in Asbeek (Asse) an exhibition and sale of a large part of her prototypes and paintings. She claimed that she was first a painter and secondly a fashion designer. Art and beauty were inextricably linked throughout her career.

She had a gallery in the Royal Gallery of the Brussels Galeries Royales Saint-Hubert. She designed costumes for Zap Mama and Madredeus. On a commercial level, she struggled with a few setbacks. After a bankruptcy in 2009 she returned two years later with a collection furniture, fabrics, lighting, jewelery and pictorial work. She designed the clothes for the opera La Traviata. The last ten years of her life she lived and worked in a converted watermill in Asbeek.

The designer overcame in 1989 a form of cancer. She died unexpectedly on 22 June 2012 pneumonia by pneumococcus. She is survived by two daughters. The months before her death she had a lot of projects in the pipeline. For example, she designed the uniforms for the cabin crew of Thomas Cook Airlines Belgium and there was the collection for the clothing chain JBC. For the fall of 2012 she was working on the costume design of the musical Peter Pan. Preparations for the sale of its archive at the end of June 2012 were in full swing.

The funeral ceremony of the designer took place on 28 June in an intimate circle at her domain in Asbeek.",kaat tilley kaat tilley 20 septemb 1959 22 june 2012 belgian flemish fashion design imagin devour creations. kaat tilley grow kapel op den bo child fond fairi tales. inaccess strength beauti fragil fairi tale figur snow white trademark. tilley regularli refer visual work. tilley studi sint luca brussel learn techniqu paint there. tilley student antwerp fashion academy. graduat cum laud theme final collect mahler venic . tilley romant fairytal clothing. 1990 design jeweleri collection. 1993 sign costum film antoin . creation midway fashion art. dress diana ross barbra streisand naomi campbel melani griffith hall berry. establish wit retrospect exhibit gaasbeek castl autumn 2005. 2007 tilley live work area asbeek ass exhibit sale larg prototyp paintings. claim painter fashion designer. art beauti inextric link career. galleri royal galleri brussel galeri royal saint hubert. design costum zap mama madredeus. commerci level struggl setbacks. bankruptci 2009 return year collect furnitur fabric light jeweleri pictori work. design cloth opera la traviata. year life live work convert watermil asbeek. design overcam 1989 form cancer. die unexpectedli 22 june 2012 pneumonia pneumococcus. surviv daughters. month death lot project pipeline. design uniform cabin crew thoma cook airlin belgium collect cloth chain jbc. fall 2012 work costum design music peter pan. prepar sale archiv june 2012 swing. funer ceremoni design place 28 june intim circl domain asbeek.
184,Fritz Lustig,185,lustig,5,"Fritz Lustig

Fritz Lustig (1919–2017) was a German-Jewish emigrant to England during the Nazi era.

Lustig was born on 31 March 1919. he arrived in the United Kingdom in April 1939 (his parents later left Germany for Portugal; his brother, Ted, to the United States, for whom he fought during the war).

He was briefly interned as an ""enemy alien"", at Peveril Camp, on the Isle of Man, in 1940, following the outbreak of World War II. He then enlisted in the British Army's Pioneer Corps, playing cello in its orchestra, but was transferred to the Combined Services Detailed Interrogation Centre in 1943, where he eavesdropped on captured Axis officers at Latimer House and Wilton Park in Buckinghamshire, known then as ""No 1 Distribution Centre"" and ""No 2 Distribution Centre"" respectively.

After rising to Regimental Sergeant Major, he was demobbed in June 1946. He subsequently worked in accountancy and credit control. He obtained British nationality in May 1947.

While working for CSDIC he met Susan Cohn, also a refugee from Germany. They were married in 1945. She died in 2013. One of their two sons is the broadcaster Robin Lustig. The other is Stephen, a music publisher.

Lustig died on 18 December 2017. Several obituaries were published, including those in ""The Times"", and ""The Guardian"", and one on the BBC Radio 4 programme ""Last Word"".",fritz lustig fritz lustig 1919 2017 german jewish emigr england nazi era. lustig born 31 march 1919. arriv unit kingdom april 1939 parent left germani portugal; brother ted unit fought war . intern enemi alien peveril camp isl man 1940 outbreak war ii. enlist british armi pioneer corp play cello orchestra transfer combin servic detail interrog centr 1943 eavesdrop captur axi offic latim hous wilton park buckinghamshir 1 distribut centr 2 distribut centr respectively. rise regiment sergeant major demob june 1946. subsequ work account credit control. british nation 1947. work csdic met susan cohn refuge germany. marri 1945. die 2013. son broadcast robin lustig. stephen music publisher. lustig die 18 decemb 2017. obituari publish includ time guardian bbc radio 4 programm word .
185,United People for Social Renovation,186,parti elect,3,"United People for Social Renovation

United People for Social Renovation (, PURS) is a political party in Cameroon.

The party was founded in 2010, but did not nominate a candidate for the 2011 presidential elections. It did contest the 2013 parliamentary elections. Serge Espoir Matomba is the party's candidate for the 2018 presidential elections.",unit peopl social renov unit peopl social renov pur polit parti cameroon. parti found 2010 nomin candid 2011 presidenti elections. contest 2013 parliamentari elections. serg espoir matomba parti candid 2018 presidenti elections.
186,1961 NAIA Soccer Championship,187,naia,4,"1961 NAIA Soccer Championship

The 1961 NAIA Soccer Championship was the third annual tournament held by the NAIA to determine the national champion of men's college soccer among its members in the United States.

Howard defeated defending co-national champions Newark Engineering in the final, 3–2, to win their first NAIA national title. 

The final was played at Lock Haven State College in Lock Haven, Pennsylvania.",1961 naia soccer championship 1961 naia soccer championship annual tournament held naia determin nation champion men colleg soccer member unit states. howard defeat defend nation champion newark engin final 3 2 win naia nation title. final play lock colleg lock pennsylvania.
187,Vernonopterus,188,genu,2,"Vernonopterus

Vernonopterus is a genus of prehistoric eurypterid classified within the family Hibbertopteridae. The genus contains one species, ""V. minutisculptus"", from the Carboniferous of Lanarkshire, Scotland.",vernonopteru vernonopteru genu prehistor eurypterid classifi famili hibbertopteridae. genu speci v. minutisculptu carbonifer lanarkshir scotland.
188,Brush Creek Minnesota,189,brush creek,3,"Brush Creek, Minnesota

Brush Creek is an unincorporated community in Brush Creek Township, Faribault County, Minnesota, United States.",brush creek minnesota brush creek unincorpor commun brush creek township faribault counti minnesota unit states.
189,Pompeiopolis disambiguation,190,pompeiopoli,2,"Pompeiopolis (disambiguation)

Pompeiopolis () may refer to several cities named after Pompey:",pompeiopoli disambigu pompeiopoli refer citi name pompey
190,JKC,191,jkc,2,"JKC

JKC may refer to:",jkc jkc refer
191,Gran Hotel Arrecife,192,gran hotel arrecif,4,"Gran Hotel (Arrecife)

The Arrecife Gran Hotel & Spa better known as Gran Hotel is a skyscraper in the city of Arrecife (Canary Islands, Spain). It is the tallest building on the island of Lanzarote with 54 meters and 15 floors (above ground).

Completed in 1974, it is located at the end of Maritime Avenue of Arrecife by the sea and ""Playa de El Reducto"". The building functions as a 5-star hotel and its height also makes it the tallest building in the Canary Islands outside of Tenerife and Gran Canaria. Recently its facade has been modernized and restored with steel and glass cladding.",gran hotel arrecif arrecif gran hotel spa gran hotel skyscrap citi arrecif canari island spain . tallest build island lanzarot 54 meter 15 floor ground . complet 1974 locat maritim avenu arrecif sea playa el reducto . build function 5 star hotel height tallest build canari island tenerif gran canaria. facad modern restor steel glass cladding.
192,Somewhere Over the Rainbow Harold Mabern album,193,mabern,5,"Somewhere Over the Rainbow (Harold Mabern album)

Somewhere Over the Rainbow is an album by pianist Harold Mabern. It was recorded in 2005 and released by Venus Records.

The album was recorded on November 11, 2005, at The Studio in New York. It was produced by Tetsuo Hara and Todd Barkan. The personnel are Harold Mabern (piano), Dwayne Burno (bass), and Willie Jones III (drums).

All of the compositions are by Harold Arlen. Mabern commented that, ""I've always studied him because his music is very bluesy. And you don't really have to do anything to his music but just go ahead and play it."" Jones uses brushes on most of the tracks. ""A Sleeping Bee"" gets a ""gospel-inflected soul-jazz treatment"". ""This Time the Dream's on Me"" has ""a hip Latin vamp to introduce a soul-jazz-infused arrangement"". Mabern's arrangement of ""Savannah"" begins as a calypso and then shifts into hard bop. ""Somewhere Over the Rainbow"" was released by Venus Records.",rainbow harold mabern album rainbow album pianist harold mabern. record 2005 releas venu records. album record novemb 11 2005 studio york. produc tetsuo hara todd barkan. personnel harold mabern piano dwayn burno bass willi jone iii drum . composit harold arlen. mabern comment studi music bluesy. music play it. jone brush tracks. sleep bee gospel inflect soul jazz treatment . time dream hip latin vamp introduc soul jazz infus arrang . mabern arrang savannah calypso shift hard bop. rainbow releas venu records.
193,Starry Internet,194,starri,14,"Starry Internet

Starry Internet is a fixed wireless broadband Internet service provider (ISP or WISP) operated by Starry, Inc., using millimeter-band LMDS connections, sometimes categorized as 5G fixed wireless, to connect its base stations to customer buildings.

Starry, Inc. was publicly announced in January 2016 by Chaitanya ""Chet"" Kanojia, who had previously founded Aereo. , it is providing commercial service to a limited number of apartment buildings in the Boston area for $50/month per apartment, promising 200Mbit/s upload and download speeds. , Starry was based in Boston, had about 100 employees, and had raised $63 million of funding. Kanojia claims that Starry's capital cost will be only $25 per home, as compared to $2,500 for cable.

Starry's system operates on the 38.2 GHz and 38.6 GHz bands, connecting its base stations (""Starry Beam"") to receivers on individual buildings (""Starry Points""). Each base station covers a radius of 1.5 km. Signal propagation is near line-of-sight, not penetrating buildings and windows, and is degraded by foliage or rain, so Starry directs its signal using Multi-user MIMO phased array antennas, and can take advantage of reflections. 

The base station redistributes its signal within a building using Starry's own Wi-Fi router (""Starry Station"").

Analysts are mixed about Starry's prospects. Some point to the failure of Clearwire (which operated WiMax on the 2.5 GHz band), or to technical challenges: ""The physics are tough to overcome, and technology has been slow to improve here."" Others note that if the expected low fixed costs per user are achieved, ""they could profitably offer competitive broadband speeds for a fraction of the current price of wired broadband"".

In January 2018, Starry announced they would be rolling out a beta version of their internet service in Los Angeles and Washington, DC later in the month.


https://finance.yahoo.com/news/startup-replace-cable-internet-faces-hurdles-184749743.html",starri internet starri internet fix wireless broadband internet servic provid isp wisp oper starri inc. millimet band lmd connect categor 5g fix wireless connect base station custom buildings. starri inc. publicli announc januari 2016 chaitanya chet kanojia found aereo. provid commerci servic limit number apart build boston area 50 month apart promis 200mbit upload download speeds. starri base boston 100 employe rais 63 funding. kanojia claim starri capit cost 25 compar 2 500 cable. starri oper 38.2 ghz 38.6 ghz band connect base station starri beam receiv individu build starri point . base station cover radiu 1.5 km. signal propag sight penetr build window degrad foliag rain starri direct signal multi user mimo phase array antenna advantag reflections. base station redistribut signal build starri wi fi router starri station . analyst mix starri prospects. point failur clearwir oper wimax 2.5 ghz band technic challeng physic tough overcom technolog slow improv here. note expect fix cost user achiev profit offer competit broadband speed fraction current price wire broadband . januari 2018 starri announc roll beta version internet servic lo angel washington dc month. http finance.yahoo.com news startup replac cabl internet face hurdl 184749743.html
194,Cyrtoctenus,195,cyrtoctenu,9,"Cyrtoctenus

Cyrtoctenus is a genus of prehistoric eurypterid classified within the family Hibbertopteridae. The genus contains six species, ranging in temporal range from the Devonian to the Carboniferous.

""Cyrtoctenus wittebergensis"" is one of the few eurypterids known from the southern hemisphere, where eurypterid finds are rare and usually fragmentary.

""Cyrtoctenus"" was a gigantic Hibbertopterid eurypterid, with ""C. wittebergensis"" reaching lengths of around 1.5 meters. The anterior movable spines of the distal podomeres on the second, third and fourth prosomal appendages were modified to form ""fingers"" associated with fixed combs developed as modifications of the posterior spine.

""Cyrtoctenus"" had further adaptations towards sweep-feeding than other hibbertopterids, with its blades modified into comb-like rachis that could entrap smaller prey or other organic food particles. With its coxae being large, it is likely that ""Cyrtoctenus"" would also feed on relatively large invertebrates when able to.

It is believed that some of the genera within the Hibbertopteridae represent synonyms of each other. Four of the genera in the family, ""Campylocephalus"", ""Hastimima, Dunsopterus"" and ""Vernonopterus"" are clearly hibbertopterids but known from very incomplete specimens. Further discoveries may point to that some of them are synonymous with either ""Hibbertopterus"" or ""Cyrtoctenus"".

Furthermore, ""Cyrtoctenus"" and ""Hibbertopterus"" might represent different ontogenetic stages of each other, where rachis would have developed in the later moult stages. This would also explain why smaller ""Hibbertopterus"" specimens are more complete than the fragmentary remains known of ""Cyrtoctenus"", as the majority of ""Hibbertopterus"" specimens would represent exuviae whilst ""Cyrtoctenus"" specimens represent actual mortalities susceptible to scavengers.

The species currently seen as valid species of the genus are:",cyrtoctenu cyrtoctenu genu prehistor eurypterid classifi famili hibbertopteridae. genu speci rang tempor rang devonian carboniferous. cyrtoctenu wittebergensi eurypterid southern hemispher eurypterid find rare fragmentary. cyrtoctenu gigant hibbertopterid eurypterid c. wittebergensi reach length 1.5 meters. anterior movabl spine distal podomer fourth prosom appendag modifi form finger fix comb develop modif posterior spine. cyrtoctenu adapt sweep feed hibbertopterid blade modifi comb rachi entrap small prey organ food particles. coxa larg cyrtoctenu feed larg invertebr to. believ genu hibbertopterida repres synonym other. genu famili campylocephalu hastimima dunsopteru vernonopteru hibbertopterid incomplet specimens. discoveri point synonym hibbertopteru cyrtoctenu . cyrtoctenu hibbertopteru repres ontogenet stage rachi develop moult stages. explain small hibbertopteru specimen complet fragmentari remain cyrtoctenu major hibbertopteru specimen repres exuvia cyrtoctenu specimen repres actual mortal suscept scavengers. speci valid speci genu
195,1933 UCI Road World Championships – Men s road race,196,road race,4,"1933 UCI Road World Championships – Men's road race

The men's road race at the 1933 UCI Road World Championships was the seventh edition of the event. The race took place on Monday 14 August 1933 in Montlhéry, France. The race was won by Georges Speicher of France.",1933 uci road championship men road race men road race 1933 uci road championship seventh edit event. race place monday 14 august 1933 montlhéri france. race georg speicher france.
196,Big South Conference Men s Soccer Tournament,197,tournament,7,"Big South Conference Men's Soccer Tournament

The Big South Conference Men's Soccer Tournament is a men's college soccer tournament that determines the Big South Conference's automatic berth into the NCAA Division I Men's Soccer Tournament. Held annually since 1984, the tournament is the oldest active NCAA Division I men's college soccer tournament.

With 12 titles, Coastal Carolina has won the most Big South tournaments of all members past and present. Winthrop has the most titles of current Big South Conference members, with five.",big south confer men soccer tournament big south confer men soccer tournament men colleg soccer tournament determin big south confer automat berth ncaa divis men soccer tournament. held annual 1984 tournament old activ ncaa divis men colleg soccer tournament. 12 titl coastal carolina big south tournament member present. winthrop titl current big south confer member five.
197,Harry Driggs,198,design edit,5,"Harry Driggs

Harry Driggs (November 3, 1935 — July 14, 2007) was an American artist, graphic designer, political activist and underground cartoonist who designed the leafy graphic logo for California's Green Party. In June 1967 the San Francisco Diggers published a small edition of his pioneering 28-page underground comic ""The Life and Loves of Cleopatra"", an obscene travesty inspired by the Elizabeth Taylor film ""Cleopatra"", which they gave away free in the Diggers' Free Store at the corner of Cole and Carl in Haight-Ashbury. This small first edition was issued anonymously without the knowledge or permission of Driggs, who left for New York City where he joined the staff of the radical newspaper ""The National Guardian"". When he returned to San Francisco in 1969 he authorized Don Donahue to bring out a new, redrawn edition under the pseudonym ""R. Diggs"". A third edition was self-published by Driggs in 1977 and Rip Off Press put out a reformatted fourth edition with new comix by Driggs in 1991.

He was a longtime resident of San Francisco, where he worked in advertising as a graphic designer and art director. He served as art director for the underground newspaper ""Good Times"" where he recruited Trina Robbins to draw for the paper. In the 1980s he joined the newly-formed Green Party, for which he designed posters, newsletters, and other materials, and did design work for local non-profits. He also contributed to ""Rip Off Comix"" and Last Gasp's"" Anarchy Comics"". Two volumes of his political cartoons were published by Rip[ Off Press in 1977 and 1979, under the title ""Great Diggs"".",harri drigg harri drigg novemb 3 1935 — juli 14 2007 american artist graphic design polit activist underground cartoonist design leafi graphic logo california green party. june 1967 san francisco digger publish small edit pioneer 28 underground comic life love cleopatra obscen travesti inspir elizabeth taylor film cleopatra free digger free store corner cole carl haight ashbury. small edit issu anonym knowledg permiss drigg left york citi join staff radic newspap nation guardian . return san francisco 1969 author donahu bring redrawn edit pseudonym r. digg . edit publish drigg 1977 rip press reformat fourth edit comix drigg 1991. longtim resid san francisco work advertis graphic design art director. serv art director underground newspap good time recruit trina robbin draw paper. 1980 join newli form green parti design poster newslett materi design work local profits. contribut rip comix gasp anarchi comic . volum polit cartoon publish rip press 1977 1979 titl great digg .
198,Cecilie Mørch Hansen,199,cecili mørch hansen,2,"Cecilie Mørch Hansen

Cecilie Mørch Hansen (born 18 December 1993) is a Danish handball player who currently plays for Randers HK.",cecili mørch hansen cecili mørch hansen born 18 decemb 1993 danish handbal player play rander hk.
199,Two Feet,200,feet,3,"Two Feet

Two Feet is the musical alias of Bill Dess, an American singer, songwriter, and producer from New York City.

Dess played locally in jazz and blues ensembles before forming Two Feet. After his single ""Go Fuck Yourself"" became a viral video online, he signed with Republic Records. The single reached #36 on Billboard magazine's Hot Rock Songs chart.",foot foot music alia de american singer songwrit produc york city. de play local jazz blue ensembl form feet. singl fuck viral video onlin sign republ records. singl reach 36 billboard magazin hot rock song chart.
200,42nd Regiment Gallipoli 1915,201,regiment gallipoli,6,"42nd Regiment - Gallipoli 1915

""42nd Regiment - Gallipoli 1915"" tells the story of Ottoman 42nd Infantry Regiment, which fought in Siege of Medina, Gallipoli Campaign and Turkish War of Independence The book has been praised for containing many documents about Gallipoli Campaign which were published for the first time, giving an insight to the documents from both sides of the war.

42nd Regiment of 14th Infantry Division under the command of Major Ahmet Nuri Bey stationed in Seddülbahir Front of Gallipoli Campaign has fought in the Battles of Kerevizdere against the French East Expeditionary Corps.The regiment remained in the area for more than five months, engaged in trench warfare. After the Gallipoli Campaign the regiment was transferred to Hejaz.",42nd regiment gallipoli 1915 42nd regiment gallipoli 1915 tell stori ottoman 42nd infantri regiment fought sieg medina gallipoli campaign turkish war independ book prais document gallipoli campaign publish time insight document side war. 42nd regiment 14th infantri divis command major ahmet nuri bey station seddülbahir gallipoli campaign fought battl kerevizder french east expeditionari corps.th regiment remain area month engag trench warfare. gallipoli campaign regiment transfer hejaz.
201,Lupita Lara,202,lupita lara mexico debut la,3,"Lupita Lara

Lupita Lara (born Guadalupe Lara Ochoa on December 6, 1950 in Ciudad de Mexico, Mexico) is a Mexican actress.

Born in Mexico City. She began her career as an actress at an early age, at age five she made her debut in the children's play La Jota. At that time she also made her television debut, participating in the programs Bombonsico, Biberolandia and Yo fui testigo. In soap operas she made his debut in 1963 in El secreto, together with Magda Guzmán and José Gálvez. One of his most famous and remembered characters has been Lupita, the sympathetic and dreamy protagonist of Mi secretaria, the successful comedy starring also Pompín Iglesias, César Bono, Zoila Quiñones and Judy Ponte in 1978. The series was so successful that it extended to 1986. 

She still working on soap operas, in her career she has outstanding performances in Cruz de amor, Barata de primavera, La fiera, Amor de nadie, De frente al sol, Carita de ángel, El noveno mandamiento, La otra y Amar sin límites, among many others.",lupita lara lupita lara born guadalup lara ochoa decemb 6 1950 ciudad mexico mexico mexican actress. born mexico city. begin career actress earli age age debut child play la jota. time televis debut particip program bombonsico biberolandia yo fui testigo. soap opera debut 1963 el secreto magda guzmán josé gálvez. famou rememb charact lupita sympathet dreami protagonist mi secretaria success comedi star pompín iglesia césar bono zoila quiñon judi pont 1978. seri success extend 1986. work soap opera career outstand perform cruz amor barata primavera la fiera amor nadi frent sol carita ángel el noveno mandamiento la otra amar sin límite others.
202,Deborah Brownson,203,deborah brownson autism campaign,2,"Deborah Brownson

Deborah Louise Brownson (born October 1974) is a British autism campaigner. She campaigned successfully for autism to be included in teacher training and wrote a leading guide to the condition ""He's Not Naughty!"" from the point of view of a child.",deborah brownson deborah louis brownson born octob 1974 british autism campaigner. campaign autism includ teacher train write lead guid condit naughty! point view child.
203,1936 UCI Road World Championships – Men s road race,204,road race,4,"1936 UCI Road World Championships – Men's road race

The men's road race at the 1936 UCI Road World Championships was the tenth edition of the event. The race took place on Sunday 6 September 1936 in Bern, Switzerland. The race was won by Antonin Magne of France.",1936 uci road championship men road race men road race 1936 uci road championship tenth edit event. race place sunday 6 septemb 1936 bern switzerland. race antonin magn france.
